tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0100275	movie	The Wandering Soap Opera	La Telenovela Errante	0	2017	\N	80	Comedy,Drama,Fantasy
tt0112502	movie	Bigfoot	Bigfoot	0	2017	\N	\N	Horror,Thriller
tt0137204	movie	Joe Finds Grace	Joe Finds Grace	0	2017	\N	83	Adventure,Animation,Comedy
tt0331314	movie	Bunyan and Babe	Bunyan and Babe	0	2017	\N	84	Adventure,Animation,Comedy
tt0339736	movie	The Evil Within	The Evil Within	0	2017	\N	98	Horror
tt0366415	movie	Boy with a Movie Camera	Boy with a Movie Camera	0	2017	\N	\N	Documentary
tt0368133	movie	The Promise of Perfume	The Promise of Perfume	0	2017	\N	57	Documentary
tt0451201	movie	Clawed	Sludge	0	2017	\N	95	Horror
tt0451279	movie	Wonder Woman	Wonder Woman	0	2017	\N	141	Action,Adventure,Fantasy
tt0460890	movie	The Only Living Boy in New York	The Only Living Boy in New York	0	2017	\N	89	Drama
tt0491175	movie	Suburbicon	Suburbicon	0	2017	\N	105	Crime,Drama,Mystery
tt0491203	movie	Tulip Fever	Tulip Fever	0	2017	\N	105	Drama,History,Romance
tt0493405	movie	CHIPS	CHIPS	0	2017	\N	100	Action,Comedy,Crime
tt0498381	movie	Rings	Rings	0	2017	\N	102	Drama,Horror
tt0835802	movie	Krystal	Krystal	0	2017	\N	90	Comedy,Drama
tt0874268	movie	The Dot Man	The Dot Man	0	2017	\N	\N	Drama,Thriller
tt0937225	movie	Joe Dick	Joe Dick	0	2017	\N	96	Comedy
tt0974015	movie	Justice League	Justice League	0	2017	\N	120	Action,Adventure,Fantasy
tt1020581	movie	The Method	The Method	0	2017	\N	\N	Drama,Mystery,Romance
tt1024855	movie	Gunned Down	Gunned Down	0	2017	\N	95	Action,Thriller
tt1034385	movie	Cold Skin	Cold Skin	0	2017	\N	108	Adventure,Horror,Sci-Fi
tt1051229	movie	Havana, Habana	Havana, Habana	0	2017	\N	65	Drama
tt1107262	movie	Intent	Intent	0	2017	\N	\N	Crime,Drama,Thriller
