tconst	averageRating	numVotes
tt0100275	6.7	75
tt0112502	4.0	30
tt0137204	8.8	252
tt0331314	4.9	256
tt0339736	5.5	1864
tt0451201	4.7	66
tt0451279	7.5	421119
tt0460890	6.3	5985
tt0491175	5.6	22710
tt0491203	6.2	11191
tt0493405	6.0	31059
tt0498381	4.5	30209
tt0835802	4.5	177
tt0874268	7.4	44
tt0937225	5.6	21
tt0974015	6.6	261672
tt1024855	5.2	588
tt1034385	5.9	4649
tt1051229	6.6	9
tt1107262	7.8	29
tt1131724	5.7	13280
tt1131728	3.9	579
tt1139592	4.2	12835
tt1183352	8.1	33
tt1219827	6.4	155250
tt1225856	3.4	116
tt1230168	6.4	2293
tt1233600	5.8	51
tt1234927	6.2	128
tt1241317	4.6	58893
tt1262914	4.0	39
tt1291566	6.8	4275
tt1293847	5.2	70450
tt1312233	7.2	19
tt1338635	5.6	78
tt1346630	4.5	24
tt1379178	6.3	6
tt1380151	5.7	598
tt1386691	6.2	6972
tt1389072	5.7	52518
tt1396484	7.4	284615
tt1412528	5.8	18556
tt1454700	7.4	689
tt1458169	5.9	24862
tt1468883	5.8	11
tt1469304	5.6	109191
tt1485796	7.7	136480
tt1492705	5.2	466
tt1496040	3.2	13
tt1505839	3.1	32
tt1507571	5.6	1002
tt1508012	8.0	8
tt1536537	6.9	66923
tt1544608	5.2	7370
tt1553659	7.2	649
tt1572169	5.5	39
tt1615157	9.0	7
tt1615160	7.0	66602
tt1630657	5.0	52
tt1633217	6.5	267
tt1640605	4.6	57
tt1643249	7.1	27
tt1645033	4.6	5
tt1648190	5.7	92506
tt1653665	7.1	12486
tt1659217	8.9	10
tt1665729	5.1	7
tt1665799	7.2	31
tt1666185	5.8	16004
tt1667321	6.5	1221
tt1674768	8.9	51
tt1680140	5.1	573
tt1691916	6.4	32532
tt1691924	3.0	137
tt1693111	6.8	6
tt1698655	6.1	96
tt1699518	6.6	3069
tt1720621	5.3	477
tt1724970	5.3	11867
tt1726870	5.4	7
tt1727497	6.3	565
tt1730768	7.0	26320
tt1734493	6.2	18792
tt1740683	6.4	407
tt1753383	7.0	45404
tt1758810	5.1	37038
tt1764565	7.1	28
tt1764679	4.1	55
tt1774504	6.3	14
tt1781058	5.8	7796
tt1781777	6.5	15
tt1785288	5.3	793
tt1785635	4.8	8125
tt1786503	4.1	41
