titleId	ordering	title	region	language	types	attributes	isOriginalTitle
tt0100275	1	La Telenovela Errante	\N	\N	original	\N	1
tt0100275	2	The Wandering Soap Opera	XWW	en	imdbDisplay	\N	0
tt0100275	3	La Telenovela Errante	CL	\N	\N	\N	0
tt0100275	4	La novela errante	CL	\N	\N	informal alternative title	0
tt0112502	1	Bigfoot	US	\N	\N	\N	0
tt0137204	1	Joe Finds Grace	CA	\N	\N	\N	0
tt0137204	2	Elephant Joe	\N	\N	working	\N	0
tt0137204	3	Joe Finds Grace	\N	\N	original	\N	1
tt0137204	4	Saving Grace	\N	\N	working	\N	0
tt0331314	1	Paul Bunyan	US	\N	working	\N	0
tt0331314	2	Bunyan and Babe	\N	\N	original	\N	1
tt0331314	3	Bunyan and Babe	US	\N	\N	\N	0
tt0331314	4	A Giant Adventure	XWW	en	\N	\N	0
tt0339736	1	Whiplash	US	\N	working	\N	0
tt0339736	2	The Storyteller	\N	\N	original	\N	1
tt0339736	3	The Evil Within	\N	\N	original	\N	1
tt0339736	4	The Evil Within	US	\N	\N	\N	0
tt0366415	1	Boy with a Movie Camera	\N	\N	original	\N	1
tt0366415	2	Boy with a Movie Camera	US	\N	\N	\N	0
tt0366415	3	Erased Faces II	\N	\N	working	\N	0
tt0368133	1	The Promise of Perfume	US	\N	\N	reissue title	0
tt0368133	2	The Perfumed Road	\N	\N	working	\N	0
tt0368133	3	The Promise of Perfume	\N	\N	original	\N	1
tt0368133	4	La voie parfumée	FR	\N	working	\N	0
tt0451201	1	Clawed	US	\N	imdbDisplay	\N	0
tt0451201	2	Sludge	\N	\N	original	\N	1
tt0451279	10	Диво-Жiнка	UA	\N	\N	\N	0
tt0451279	11	Mulher-Maravilha	PT	\N	imdbDisplay	\N	0
tt0451279	12	Nuostabioji moteris	LT	\N	imdbDisplay	\N	0
tt0451279	13	Wonder Woman	NZ	en	imdbDisplay	\N	0
tt0451279	14	Čudesna žena	RS	\N	\N	\N	0
tt0451279	15	Femeia Fantastică	RO	\N	\N	\N	0
tt0451279	16	Mujer Maravilla	CL	\N	imdbDisplay	\N	0
tt0451279	17	Wonder Woman	GB	\N	imdbDisplay	\N	0
tt0451279	18	Mujer Maravilla	MX	\N	imdbDisplay	\N	0
tt0451279	19	La mujer maravilla	VE	\N	\N	\N	0
tt0451279	1	Mulher-Maravilha	BR	\N	imdbDisplay	\N	0
tt0451279	20	Wonder Woman	IE	en	imdbDisplay	\N	0
tt0451279	21	Zan-e shegeft angiz	IR	fa	imdbDisplay	\N	0
tt0451279	22	Wonder Woman	CA	en	imdbDisplay	\N	0
tt0451279	23	Mujer maravilla	UY	\N	\N	3-D version	0
tt0451279	24	Mujer Maravilla	AR	\N	imdbDisplay	\N	0
tt0451279	25	Wonder Woman	ES	\N	imdbDisplay	\N	0
tt0451279	26	Wonder Woman	\N	\N	original	\N	1
tt0451279	27	Wonder Woman	AU	\N	imdbDisplay	\N	0
tt0451279	28	Wonder Woman	IL	he	imdbDisplay	\N	0
tt0451279	2	Wonder Woman	US	\N	imdbDisplay	\N	0
tt0451279	3	Жената чудо	BG	bg	\N	\N	0
tt0451279	4	Nu Than Chien Binh	VN	\N	imdbDisplay	\N	0
tt0451279	5	Čudežna ženska	SI	\N	imdbDisplay	\N	0
tt0451279	6	Wonder Woman	DE	\N	imdbDisplay	\N	0
tt0451279	7	Wonder Woman	NO	\N	imdbDisplay	\N	0
tt0451279	8	Чудо-женщина	RU	\N	\N	\N	0
tt0451279	9	Wonder Woman	HK	\N	\N	\N	0
tt0460890	10	Το μόνο αγόρι στη Νέα Υόρκη	GR	\N	\N	\N	0
tt0460890	11	Apenas um Garoto em Nova York	BR	\N	imdbDisplay	\N	0
tt0460890	12	Liaisons à New York	FR	\N	imdbDisplay	\N	0
tt0460890	1	Sayonara, boku no Manhattan	JP	\N	imdbDisplay	\N	0
tt0460890	2	The Only Living Boy in New York	PT	\N	imdbDisplay	\N	0
tt0460890	3	La amante de mi padre	MX	\N	imdbDisplay	\N	0
tt0460890	4	Единственный живой парень в Нью-Йорке	RU	\N	\N	\N	0
tt0460890	5	Canción de Nueva York	ES	\N	imdbDisplay	\N	0
tt0460890	6	Jeune et célibataire à New York	CA	fr	imdbDisplay	\N	0
tt0460890	7	The Only Living Boy in New York	\N	\N	original	\N	1
tt0460890	8	New York-i afférok	HU	\N	imdbDisplay	\N	0
tt0460890	9	The Only Living Boy in New York	US	\N	\N	\N	0
tt0491175	10	Suburbicon: Bem-vindos ao Paraíso	BR	\N	imdbDisplay	\N	0
tt0491175	11	Suburbicon: Bienvenidos al paraíso	AR	\N	imdbDisplay	\N	0
tt0491175	12	Suburbicón	ES	\N	imdbDisplay	\N	0
tt0491175	13	Suburbicon: Tiszta udvar, rendes ház	HU	\N	imdbDisplay	\N	0
tt0491175	14	Suburbicon	\N	\N	original	\N	1
tt0491175	15	Субурбикон	BG	bg	\N	\N	0
tt0491175	16	Sodot ha'parvarim	IL	he	imdbDisplay	\N	0
tt0491175	17	Suburbicon, Dove tutto è come sembra	IT	\N	imdbDisplay	\N	0
tt0491175	18	Suburbicon: Bienvenidos al paraíso	MX	\N	imdbDisplay	\N	0
tt0491175	1	Suburbicon: Bienvenidos al Paraíso	CL	\N	imdbDisplay	\N	0
tt0491175	2	Suburbicon: Bienvenidos al paraíso	UY	\N	\N	original subtitled version	0
tt0491175	3	Suburbicon	PT	\N	imdbDisplay	\N	0
tt0491175	4	Suburbicon: Bienvenidos al paraíso	PE	\N	imdbDisplay	\N	0
tt0491175	5	Suburbikonas	LT	\N	imdbDisplay	\N	0
tt0491175	6	Predgrađe	HR	\N	\N	\N	0
tt0491175	7	Субурбикон	RU	\N	\N	\N	0
tt0491175	8	Suburbicon	GB	\N	\N	\N	0
tt0491175	9	Bienvenue à Suburbicon	FR	\N	imdbDisplay	\N	0
tt0491203	10	Tulipánová horecka	CZ	\N	imdbDisplay	\N	0
tt0491203	11	Тюльпанова лихоманка	UA	\N	\N	\N	0
tt0491203	12	Febra lalelelor	RO	\N	imdbDisplay	\N	0
tt0491203	13	Kaddakhat ha'tziv'onim	IL	he	imdbDisplay	\N	0
tt0491203	14	Tulbipalavik	EE	\N	imdbDisplay	\N	0
tt0491203	15	Треска за лалета	BG	bg	\N	\N	0
tt0491203	16	Tulip Fever	GB	\N	\N	\N	0
tt0491203	17	Tulipanfeber	DK	\N	imdbDisplay	\N	0
tt0491203	18	Tulipanska Groznica	HR	\N	imdbDisplay	\N	0
tt0491203	19	Тюльпанная лихорадка	RU	\N	\N	\N	0
tt0491203	1	Tulip Fever	\N	\N	original	\N	1
tt0491203	20	A Febre das Tulipas	PT	\N	imdbDisplay	\N	0
tt0491203	21	Tulipánová horúcka	SK	\N	imdbDisplay	\N	0
tt0491203	22	La ragazza dei tulipani	IT	\N	imdbDisplay	\N	0
tt0491203	23	Amor & Tulipas	BR	\N	imdbDisplay	\N	0
tt0491203	2	Tulpiu karstine	LT	\N	imdbDisplay	\N	0
tt0491203	3	Tulipanowa goraczka	PL	\N	imdbDisplay	\N	0
tt0491203	4	Tulpenfieber	DE	\N	imdbDisplay	\N	0
tt0491203	5	Ο πυρετός της τουλίπας	GR	\N	\N	\N	0
tt0491203	6	Tulip Fever	ES	\N	imdbDisplay	\N	0
tt0491203	7	Tulppaanikuume	FI	\N	imdbDisplay	\N	0
tt0491203	8	Tulipánláz	HU	\N	imdbDisplay	\N	0
tt0491203	9	Tulpanfeber	SE	\N	imdbDisplay	\N	0
tt0493405	10	CHIPS	\N	\N	original	\N	1
tt0493405	11	Patrulha de Doidos	PT	\N	imdbDisplay	\N	0
tt0493405	12	Patruliai	LT	\N	imdbDisplay	\N	0
tt0493405	13	CHIPS: Patrulla motorizada	MX	\N	imdbDisplay	\N	0
tt0493405	14	CHiPs: Магистрални ченгета	BG	bg	\N	\N	0
